,Drug_bank,MGI_essential,Haploinsufficient,highPhi,highPLI_Exac,highShet_Cassa,MissenseZ_Samocha,Autosomal_dominant,OMIM_diseasegenes,TF,high_EDS,Olfactory,Clinvar,GWAS_nearest,Universe,eQTL_deficient,eGenes_ENTREZ_Whole_Blood.v7.signif_variant_gene_pairs,Genes_withSNPs_r01_100kb,Genes_withSNPs_r03_100kb,Genes_withSNPs_r05_100kb,Genes_withSNPs_allSNPs_100kb,Genes_withSNPs_r01_10kb,Genes_withSNPs_r03_10kb,Genes_withSNPs_r05_10kb,Genes_withSNPs_all_SNPs_10kb
top10%,39.0,398.0,14.0,94.0,520.0,418.0,246.0,114.0,242.0,132.0,220.0,0.0,537.0,603.0,1642.0,24.0,607.0,117.0,125.0,125.0,129.0,96.0,101.0,101.0,112.0
top20,29.0,296.0,15.0,111.0,473.0,363.0,211.0,73.0,234.0,115.0,207.0,0.0,547.0,612.0,1642.0,12.0,665.0,109.0,125.0,121.0,124.0,102.0,109.0,102.0,113.0
top30,28.0,289.0,14.0,84.0,391.0,282.0,181.0,82.0,214.0,157.0,237.0,0.0,513.0,586.0,1639.0,25.0,645.0,122.0,125.0,133.0,118.0,124.0,115.0,113.0,113.0
top40,14.0,224.0,16.0,73.0,346.0,300.0,154.0,53.0,197.0,164.0,221.0,0.0,478.0,585.0,1633.0,22.0,652.0,157.0,155.0,154.0,138.0,153.0,152.0,161.0,134.0
top50,25.0,222.0,9.0,54.0,255.0,244.0,111.0,52.0,224.0,138.0,230.0,0.0,498.0,539.0,1641.0,27.0,596.0,151.0,146.0,144.0,137.0,131.0,145.0,152.0,141.0
top60,26.0,206.0,13.0,43.0,240.0,225.0,98.0,54.0,207.0,141.0,271.0,0.0,497.0,585.0,1642.0,33.0,620.0,168.0,166.0,175.0,146.0,154.0,177.0,180.0,161.0
top70,40.0,203.0,14.0,52.0,232.0,193.0,92.0,78.0,213.0,139.0,296.0,0.0,528.0,610.0,1639.0,45.0,567.0,179.0,188.0,184.0,163.0,166.0,184.0,173.0,183.0
top80,36.0,208.0,11.0,46.0,202.0,182.0,93.0,71.0,198.0,129.0,304.0,0.0,450.0,589.0,1640.0,53.0,506.0,162.0,166.0,164.0,144.0,177.0,175.0,162.0,153.0
top90,36.0,179.0,11.0,19.0,156.0,168.0,72.0,71.0,216.0,133.0,307.0,1.0,474.0,616.0,1642.0,83.0,499.0,202.0,196.0,187.0,196.0,218.0,220.0,218.0,208.0
top100,79.0,105.0,2.0,9.0,65.0,114.0,77.0,44.0,139.0,223.0,148.0,340.0,286.0,459.0,1643.0,137.0,330.0,257.0,241.0,229.0,316.0,297.0,246.0,247.0,316.0
