,Drug_bank,MGI_essential,Haploinsufficient,highPhi,highPLI_Exac,highShet_Cassa,MissenseZ_Samocha,Autosomal_dominant,OMIM_diseasegenes,TF,high_EDS,Olfactory,Clinvar,GWAS_nearest,Universe,eQTL_deficient,eGenes_ENTREZ_Whole_Blood.v7.signif_variant_gene_pairs,indSNPs_r01_100kb,indSNPs_r03_100kb,indSNPs_r05_100kb,indSNPs_r01_10kb,indSNPs_r03_10kb,indSNPs_r05_10kb
top10%,19.0,143.0,6.0,19.0,133.0,154.0,109.0,55.0,126.0,152.0,214.0,19.0,405.0,534.0,1871.0,78.0,537.0,371.0,373.0,361.0,373.0,378.0,381.0
top20,34.0,200.0,12.0,54.0,223.0,192.0,120.0,55.0,192.0,156.0,239.0,26.0,488.0,625.0,1873.0,68.0,560.0,228.0,232.0,233.0,229.0,239.0,240.0
top30,35.0,191.0,12.0,50.0,226.0,196.0,114.0,54.0,184.0,169.0,258.0,33.0,452.0,615.0,1874.0,92.0,566.0,237.0,215.0,244.0,182.0,194.0,203.0
top40,33.0,198.0,11.0,44.0,210.0,193.0,115.0,61.0,200.0,164.0,264.0,32.0,483.0,580.0,1871.0,76.0,557.0,200.0,208.0,207.0,212.0,200.0,203.0
top50,37.0,212.0,6.0,57.0,261.0,224.0,124.0,53.0,213.0,195.0,261.0,33.0,496.0,642.0,1870.0,62.0,634.0,168.0,178.0,171.0,178.0,172.0,180.0
top60,25.0,195.0,8.0,65.0,284.0,244.0,143.0,77.0,233.0,186.0,298.0,55.0,508.0,633.0,1869.0,67.0,619.0,183.0,194.0,187.0,200.0,202.0,195.0
top70,47.0,218.0,10.0,72.0,323.0,269.0,143.0,72.0,230.0,162.0,262.0,57.0,505.0,642.0,1870.0,58.0,660.0,175.0,184.0,178.0,172.0,190.0,191.0
top80,45.0,244.0,19.0,80.0,365.0,315.0,171.0,66.0,204.0,147.0,274.0,59.0,539.0,678.0,1871.0,65.0,653.0,171.0,168.0,165.0,166.0,169.0,177.0
top90,42.0,305.0,14.0,74.0,356.0,325.0,148.0,104.0,259.0,134.0,280.0,41.0,594.0,687.0,1870.0,49.0,662.0,166.0,166.0,159.0,173.0,164.0,160.0
top100,43.0,465.0,24.0,78.0,538.0,499.0,255.0,113.0,309.0,93.0,265.0,5.0,661.0,676.0,1873.0,19.0,677.0,91.0,96.0,98.0,109.0,99.0,104.0
